disease,tau,method,method_label,rejection_rate,sensitivity,specificity,auprc,n_retained,minority_coverage,majority_coverage
PD,0.39,random_ccr,Random + CCR (Control),0.75,0.6923076923076923,0.7567567567567568,0.7320931284644482,63,0.2708333333333333,0.24666666666666667
PD,0.39,random_ccr,Random + CCR (Control),0.8,0.6842105263157895,0.7419354838709677,0.67402668306709,50,0.19791666666666666,0.20666666666666667
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.0,0.71875,0.76,0.6998023244065193,246,1.0,1.0
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.05,0.7444444444444445,0.7708333333333334,0.704760551950194,234,0.9375,0.96
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.1,0.7529411764705882,0.7737226277372263,0.7079199706837744,222,0.8854166666666666,0.9133333333333333
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.15,0.7922077922077922,0.7819548872180451,0.7064116953863295,210,0.8020833333333334,0.8866666666666667
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.2,0.7945205479452054,0.7903225806451613,0.7104173826736435,197,0.7604166666666666,0.8266666666666667
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.25,0.8115942028985508,0.8017241379310345,0.7143659234266241,185,0.71875,0.7733333333333333
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.3,0.8153846153846154,0.8055555555555556,0.7145042898837052,173,0.6770833333333334,0.72
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.35,0.8064516129032258,0.8080808080808081,0.7167517748993786,161,0.6458333333333334,0.66
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.4,0.7966101694915254,0.8202247191011236,0.722245061915749,148,0.6145833333333334,0.5933333333333334
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.45,0.8113207547169812,0.8192771084337349,0.7191600655897593,136,0.5520833333333334,0.5533333333333333
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.5,0.7959183673469388,0.8133333333333334,0.7203368860775122,124,0.5104166666666666,0.5
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.55,0.7777777777777778,0.8059701492537313,0.7251864806617817,112,0.46875,0.44666666666666666
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.6,0.7804878048780488,0.8275862068965517,0.7340330491731234,99,0.4270833333333333,0.38666666666666666
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.65,0.7714285714285715,0.8076923076923077,0.7372331796500335,87,0.3645833333333333,0.3466666666666667
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.7,0.8,0.8222222222222222,0.7445891815063523,75,0.3125,0.3
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.75,0.84,0.8421052631578947,0.7474531541598204,63,0.2604166666666667,0.25333333333333335
PD,0.39,h_total_ccr,H_Total + CCR (Control),0.8,0.85,0.8666666666666667,0.745259911871754,50,0.20833333333333334,0.2
PD,0.39,margin_ccr,Margin + CCR (Control),0.0,0.71875,0.76,0.6998023244065193,246,1.0,1.0
PD,0.39,margin_ccr,Margin + CCR (Control),0.05,0.7444444444444445,0.7708333333333334,0.7036394052930166,234,0.9375,0.96
PD,0.39,margin_ccr,Margin + CCR (Control),0.1,0.7558139534883721,0.7794117647058824,0.7097626896892467,222,0.8958333333333334,0.9066666666666666
PD,0.39,margin_ccr,Margin + CCR (Control),0.15,0.7974683544303798,0.7938931297709924,0.7106457542942782,210,0.8229166666666666,0.8733333333333333
PD,0.39,margin_ccr,Margin + CCR (Control),0.2,0.8,0.8032786885245902,0.715105088727553,197,0.78125,0.8133333333333334
PD,0.39,margin_ccr,Margin + CCR (Control),0.25,0.8142857142857143,0.808695652173913,0.7167184940698536,185,0.7291666666666666,0.7666666666666667
PD,0.39,margin_ccr,Margin + CCR (Control),0.3,0.8181818181818182,0.8130841121495327,0.7183033044851611,173,0.6875,0.7133333333333334
PD,0.39,margin_ccr,Margin + CCR (Control),0.35,0.8153846153846154,0.8333333333333334,0.7254444728688538,161,0.6770833333333334,0.64
PD,0.39,margin_ccr,Margin + CCR (Control),0.4,0.8032786885245902,0.8390804597701149,0.7281313445138872,148,0.6354166666666666,0.58
PD,0.39,margin_ccr,Margin + CCR (Control),0.45,0.8181818181818182,0.8395061728395061,0.7248425575588315,136,0.5729166666666666,0.54
PD,0.39,margin_ccr,Margin + CCR (Control),0.5,0.8,0.8243243243243243,0.7233453357431708,124,0.5208333333333334,0.49333333333333335
PD,0.39,margin_ccr,Margin + CCR (Control),0.55,0.7777777777777778,0.8059701492537313,0.7251864806617817,112,0.46875,0.44666666666666666
PD,0.39,margin_ccr,Margin + CCR (Control),0.6,0.7804878048780488,0.8275862068965517,0.7340330491731234,99,0.4270833333333333,0.38666666666666666
PD,0.39,margin_ccr,Margin + CCR (Control),0.65,0.7714285714285715,0.8076923076923077,0.7372331796500335,87,0.3645833333333333,0.3466666666666667
PD,0.39,margin_ccr,Margin + CCR (Control),0.7,0.8,0.8222222222222222,0.7445891815063523,75,0.3125,0.3
PD,0.39,margin_ccr,Margin + CCR (Control),0.75,0.84,0.8421052631578947,0.7474531541598204,63,0.2604166666666667,0.25333333333333335
PD,0.39,margin_ccr,Margin + CCR (Control),0.8,0.85,0.8666666666666667,0.745259911871754,50,0.20833333333333334,0.2
