disease,tau,method,method_label,rejection_rate,sensitivity,specificity,auprc,n_retained,minority_coverage,majority_coverage
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.5,0.9176470588235294,0.9315068493150684,0.9465064373679786,158,0.5,0.5069444444444444
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.55,0.922077922077922,0.9393939393939394,0.9487763041309885,143,0.45294117647058824,0.4583333333333333
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.6,0.9117647058823529,0.9310344827586207,0.9526212889956116,126,0.4,0.4027777777777778
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.65,0.9016393442622951,0.94,0.9597974683931804,111,0.3588235294117647,0.3472222222222222
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.7,0.9215686274509803,0.9318181818181818,0.9679053346032385,95,0.3,0.3055555555555556
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.75,0.9523809523809523,0.9473684210526315,0.9763833797500173,80,0.24705882352941178,0.2638888888888889
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.8,0.9696969696969697,0.9666666666666667,0.9843626267563217,63,0.19411764705882353,0.20833333333333334
AD,0.54,random_ccr,Random + CCR (Control),0.0,0.7529411764705882,0.7430555555555556,0.8710440706902991,314,1.0,1.0
AD,0.54,random_ccr,Random + CCR (Control),0.05,0.7625,0.7482014388489209,0.8702310442483763,299,0.9411764705882353,0.9652777777777778
AD,0.54,random_ccr,Random + CCR (Control),0.1,0.7651006711409396,0.7407407407407407,0.8631741575857894,284,0.8764705882352941,0.9375
AD,0.54,random_ccr,Random + CCR (Control),0.15,0.762589928057554,0.7286821705426356,0.8558676397987942,268,0.8176470588235294,0.8958333333333334
AD,0.54,random_ccr,Random + CCR (Control),0.2,0.7557251908396947,0.7272727272727273,0.8539527943488396,252,0.7705882352941177,0.8402777777777778
AD,0.54,random_ccr,Random + CCR (Control),0.25,0.768595041322314,0.7304347826086957,0.8540678336218338,236,0.711764705882353,0.7986111111111112
AD,0.54,random_ccr,Random + CCR (Control),0.3,0.7699115044247787,0.7314814814814815,0.8506991632705976,221,0.6647058823529411,0.75
AD,0.54,random_ccr,Random + CCR (Control),0.35,0.7692307692307693,0.7227722772277227,0.8490584947129538,205,0.611764705882353,0.7013888888888888
AD,0.54,random_ccr,Random + CCR (Control),0.4,0.7789473684210526,0.7340425531914894,0.8605826088285589,189,0.5588235294117647,0.6527777777777778
AD,0.54,random_ccr,Random + CCR (Control),0.45,0.7976190476190477,0.7303370786516854,0.8632143891354034,173,0.49411764705882355,0.6180555555555556
AD,0.54,random_ccr,Random + CCR (Control),0.5,0.7894736842105263,0.7195121951219512,0.8618544007464205,158,0.4470588235294118,0.5694444444444444
AD,0.54,random_ccr,Random + CCR (Control),0.55,0.7941176470588235,0.72,0.8551603343987267,143,0.4,0.5208333333333334
AD,0.54,random_ccr,Random + CCR (Control),0.6,0.8103448275862069,0.7205882352941176,0.8436797300632756,126,0.3411764705882353,0.4722222222222222
AD,0.54,random_ccr,Random + CCR (Control),0.65,0.82,0.7213114754098361,0.8378250476607588,111,0.29411764705882354,0.4236111111111111
AD,0.54,random_ccr,Random + CCR (Control),0.7,0.8292682926829268,0.7037037037037037,0.8466586182691871,95,0.2411764705882353,0.375
AD,0.54,random_ccr,Random + CCR (Control),0.75,0.8055555555555556,0.7045454545454546,0.87158190576092,80,0.21176470588235294,0.3055555555555556
AD,0.54,random_ccr,Random + CCR (Control),0.8,0.8,0.7272727272727273,0.8782747999039585,63,0.17647058823529413,0.22916666666666666
