disease,method,rejection_rate,fn_rejection_pct,tn_rejection_pct,fp_rejection_pct,tp_rejection_pct
PD,h_total_ccr,0.5,62.96296296296296,46.49122807017544,61.111111111111114,43.478260869565226
PD,h_total_ccr,0.55,62.96296296296296,52.63157894736842,63.888888888888886,49.275362318840585
PD,h_total_ccr,0.6,66.66666666666666,57.89473684210527,72.22222222222221,53.62318840579711
PD,h_total_ccr,0.65,70.37037037037037,63.1578947368421,72.22222222222221,60.86956521739131
PD,h_total_ccr,0.7,77.77777777777779,67.54385964912281,77.77777777777779,65.21739130434783
PD,h_total_ccr,0.75,85.18518518518519,71.9298245614035,83.33333333333334,69.56521739130434
PD,h_total_ccr,0.8,88.88888888888889,77.19298245614034,88.88888888888889,75.36231884057972
PD,margin_ccr,0.0,0.0,0.0,0.0,0.0
PD,margin_ccr,0.05,14.814814814814813,2.631578947368421,8.333333333333353,2.898550724637681
PD,margin_ccr,0.1,22.22222222222222,7.017543859649122,16.66666666666668,5.797101449275362
PD,margin_ccr,0.15,40.740740740740755,8.771929824561415,25.0,8.695652173913043
PD,margin_ccr,0.2,44.44444444444446,14.035087719298245,33.33333333333333,13.043478260869565
PD,margin_ccr,0.25,51.85185185185185,18.421052631578945,38.88888888888889,17.391304347826086
PD,margin_ccr,0.3,55.55555555555557,23.684210526315777,44.444444444444436,21.73913043478261
PD,margin_ccr,0.35,55.55555555555556,29.82456140350877,55.55555555555557,23.18840579710145
PD,margin_ccr,0.4,55.55555555555556,35.96491228070175,61.111111111111114,28.985507246376812
PD,margin_ccr,0.45,62.962962962962976,40.35087719298245,63.88888888888887,34.78260869565217
PD,margin_ccr,0.5,62.96296296296296,46.49122807017544,63.888888888888886,42.02898550724637
PD,margin_ccr,0.55,62.96296296296296,52.63157894736842,63.888888888888886,49.275362318840585
PD,margin_ccr,0.6,66.66666666666666,57.89473684210527,72.22222222222221,53.62318840579711
PD,margin_ccr,0.65,70.37037037037037,63.1578947368421,72.22222222222221,60.86956521739131
PD,margin_ccr,0.7,77.77777777777779,67.54385964912281,77.77777777777779,65.21739130434783
PD,margin_ccr,0.75,85.18518518518519,71.9298245614035,83.33333333333334,69.56521739130434
PD,margin_ccr,0.8,88.88888888888889,77.19298245614034,88.88888888888889,75.36231884057972
