disease,tau,method,method_label,rejection_rate,sensitivity,specificity,auprc,n_retained,minority_coverage,majority_coverage
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.0,0.6630434782608695,0.7145135566188198,0.289525154026269,719,1.0,1.0
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.05,0.6867469879518072,0.7154742096505824,0.29008426454362535,684,0.9021739130434783,0.9585326953748007
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.1,0.7066666666666667,0.7155322862129145,0.31022652020851754,648,0.8152173913043478,0.9138755980861244
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.15,0.7058823529411765,0.7132352941176471,0.2860337407851548,612,0.7391304347826086,0.8676236044657097
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.2,0.7166666666666667,0.7112403100775194,0.24476736743533833,576,0.6521739130434783,0.8229665071770335
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.25,0.7407407407407407,0.7119341563786008,0.2521732138454047,540,0.5869565217391305,0.7751196172248804
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.3,0.7346938775510204,0.7098901098901099,0.25496518936894486,504,0.532608695652174,0.7256778309409888
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.35,0.7111111111111111,0.706855791962175,0.2147992162605981,468,0.4891304347826087,0.6746411483253588
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.4,0.725,0.7066326530612245,0.20870791960667165,432,0.43478260869565216,0.6251993620414673
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.45,0.7368421052631579,0.7094972067039106,0.2619901236083935,396,0.41304347826086957,0.5709728867623605
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.5,0.7352941176470589,0.7085889570552147,0.33117690330469796,360,0.3695652173913043,0.5199362041467305
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.55,0.6785714285714286,0.6993243243243243,0.22845165590136063,324,0.30434782608695654,0.47208931419457734
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.6,0.64,0.6958174904942965,0.19295434851089407,288,0.2717391304347826,0.4194577352472089
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.65,0.7,0.6982758620689655,0.19447189779502752,252,0.21739130434782608,0.3700159489633174
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.7,0.6666666666666666,0.696969696969697,0.21974826629568595,216,0.1956521739130435,0.3157894736842105
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.75,0.6153846153846154,0.688622754491018,0.25537054097123457,180,0.14130434782608695,0.266347687400319
MS,0.13,h_total_ccr,H_Total + CCR (Control),0.8,0.625,0.6838235294117647,0.11193949124729435,144,0.08695652173913043,0.21690590111642744
MS,0.13,margin_ccr,Margin + CCR (Control),0.0,0.6630434782608695,0.7145135566188198,0.289525154026269,719,1.0,1.0
MS,0.13,margin_ccr,Margin + CCR (Control),0.05,0.7011494252873564,0.7202680067001676,0.293558086379447,684,0.9456521739130435,0.9521531100478469
MS,0.13,margin_ccr,Margin + CCR (Control),0.1,0.725,0.721830985915493,0.29612691583290435,648,0.8695652173913043,0.9059011164274322
MS,0.13,margin_ccr,Margin + CCR (Control),0.15,0.7402597402597403,0.7252336448598131,0.30038441814077516,612,0.8369565217391305,0.8532695374800638
MS,0.13,margin_ccr,Margin + CCR (Control),0.2,0.7567567567567568,0.7290836653386454,0.3052093134123437,576,0.8043478260869565,0.8006379585326954
MS,0.13,margin_ccr,Margin + CCR (Control),0.25,0.7910447761194029,0.7315010570824524,0.3063396599562226,540,0.7282608695652174,0.7543859649122807
MS,0.13,margin_ccr,Margin + CCR (Control),0.3,0.7903225806451613,0.7307692307692307,0.3087335108829981,504,0.6739130434782609,0.7049441786283892
MS,0.13,margin_ccr,Margin + CCR (Control),0.35,0.7966101694915254,0.7334963325183375,0.31251093894553267,468,0.6413043478260869,0.6523125996810207
MS,0.13,margin_ccr,Margin + CCR (Control),0.4,0.8035714285714286,0.7367021276595744,0.31555447756701527,432,0.6086956521739131,0.5996810207336523
MS,0.13,margin_ccr,Margin + CCR (Control),0.45,0.8076923076923077,0.7383720930232558,0.3177753255980936,396,0.5652173913043478,0.5486443381180224
MS,0.13,margin_ccr,Margin + CCR (Control),0.5,0.8,0.7333333333333333,0.3178204985084817,360,0.4891304347826087,0.5023923444976076
MS,0.13,margin_ccr,Margin + CCR (Control),0.55,0.7857142857142857,0.7340425531914894,0.32242627336434976,324,0.45652173913043476,0.44976076555023925
MS,0.13,margin_ccr,Margin + CCR (Control),0.6,0.7804878048780488,0.7408906882591093,0.33102215281473213,288,0.44565217391304346,0.3939393939393939
MS,0.13,margin_ccr,Margin + CCR (Control),0.65,0.8285714285714286,0.7465437788018433,0.3334309642608415,252,0.3804347826086957,0.34609250398724084
MS,0.13,margin_ccr,Margin + CCR (Control),0.7,0.8064516129032258,0.745945945945946,0.33560483530583285,216,0.33695652173913043,0.29505582137161085
MS,0.13,margin_ccr,Margin + CCR (Control),0.75,0.8076923076923077,0.7467532467532467,0.3395004390004914,180,0.2826086956521739,0.24561403508771928
MS,0.13,margin_ccr,Margin + CCR (Control),0.8,0.8571428571428571,0.7560975609756098,0.34652038523500633,144,0.22826086956521738,0.19617224880382775
PD,0.39,h_total,H_Total (Global),0.0,0.71875,0.76,0.6998023244065193,246,1.0,1.0
PD,0.39,h_total,H_Total (Global),0.05,0.7,0.7916666666666666,0.7028061709982887,234,0.9375,0.96
PD,0.39,h_total,H_Total (Global),0.1,0.6785714285714286,0.8260869565217391,0.7042691254523114,222,0.875,0.92
PD,0.39,h_total,H_Total (Global),0.15,0.6493506493506493,0.8571428571428571,0.7000930671817703,210,0.8020833333333334,0.8866666666666667
PD,0.39,h_total,H_Total (Global),0.2,0.6029411764705882,0.8837209302325582,0.6874909946036217,197,0.7083333333333334,0.86
PD,0.39,h_total,H_Total (Global),0.25,0.5737704918032787,0.9112903225806451,0.6825141715516531,185,0.6354166666666666,0.8266666666666667
PD,0.39,h_total,H_Total (Global),0.3,0.5925925925925926,0.9159663865546218,0.671616754459194,173,0.5625,0.7933333333333333
PD,0.39,h_total,H_Total (Global),0.35,0.6,0.9130434782608695,0.6477359121484892,160,0.46875,0.7666666666666667
PD,0.39,h_total,H_Total (Global),0.4,0.6,0.9259259259259259,0.6399722654154941,148,0.4166666666666667,0.72
PD,0.39,h_total,H_Total (Global),0.45,0.6111111111111112,0.94,0.6352206787657833,136,0.375,0.6666666666666666
PD,0.39,h_total,H_Total (Global),0.5,0.5862068965517241,0.9574468085106383,0.5858210000899621,123,0.3020833333333333,0.6266666666666667
PD,0.39,h_total,H_Total (Global),0.55,0.5555555555555556,0.9523809523809523,0.5839050347857699,111,0.28125,0.56
PD,0.39,h_total,H_Total (Global),0.6,0.52,0.9594594594594594,0.5959204652127963,99,0.2604166666666667,0.49333333333333335
PD,0.39,h_total,H_Total (Global),0.65,0.47368421052631576,0.9705882352941176,0.5100126581132746,87,0.19791666666666666,0.4533333333333333
PD,0.39,h_total,H_Total (Global),0.7,0.375,0.9655172413793104,0.47327019243037216,74,0.16666666666666666,0.38666666666666666
PD,0.39,h_total,H_Total (Global),0.75,0.35714285714285715,0.9791666666666666,0.5060082532387976,62,0.14583333333333334,0.32
PD,0.39,h_total,H_Total (Global),0.8,0.125,0.9761904761904762,0.2948156375787955,50,0.08333333333333333,0.28
PD,0.39,margin,Margin (Global),0.0,0.71875,0.76,0.6998023244065193,246,1.0,1.0
PD,0.39,margin,Margin (Global),0.05,0.7333333333333333,0.7708333333333334,0.7036394052930166,234,0.9375,0.96
PD,0.39,margin,Margin (Global),0.1,0.7558139534883721,0.7794117647058824,0.7097626896892467,222,0.8958333333333334,0.9066666666666666
PD,0.39,margin,Margin (Global),0.15,0.8,0.7846153846153846,0.7118616817245008,210,0.8333333333333334,0.8666666666666667
PD,0.39,margin,Margin (Global),0.2,0.8026315789473685,0.7933884297520661,0.716619316684526,197,0.7916666666666666,0.8066666666666666
PD,0.39,margin,Margin (Global),0.25,0.8028169014084507,0.8157894736842105,0.7183540383402772,185,0.7395833333333334,0.76
PD,0.39,margin,Margin (Global),0.3,0.8181818181818182,0.822429906542056,0.7183033044851611,173,0.6875,0.7133333333333334
PD,0.39,margin,Margin (Global),0.35,0.8153846153846154,0.8210526315789474,0.7263099716947544,160,0.6770833333333334,0.6333333333333333
PD,0.39,margin,Margin (Global),0.4,0.8095238095238095,0.8235294117647058,0.7334694757769041,148,0.65625,0.5666666666666667
PD,0.39,margin,Margin (Global),0.45,0.8275862068965517,0.8205128205128205,0.7326773272116902,136,0.6041666666666666,0.52
PD,0.39,margin,Margin (Global),0.5,0.8245614035087719,0.7878787878787878,0.7445722657213273,123,0.59375,0.44
PD,0.39,margin,Margin (Global),0.55,0.8333333333333334,0.7719298245614035,0.7532798124545506,111,0.5625,0.38
PD,0.39,margin,Margin (Global),0.6,0.8775510204081632,0.74,0.7566924741969101,99,0.5104166666666666,0.3333333333333333
PD,0.39,margin,Margin (Global),0.65,0.9090909090909091,0.6976744186046512,0.7601605964737136,87,0.4583333333333333,0.2866666666666667
PD,0.39,margin,Margin (Global),0.7,0.9210526315789473,0.6388888888888888,0.7647142159781873,74,0.3958333333333333,0.24
PD,0.39,margin,Margin (Global),0.75,0.9444444444444444,0.6153846153846154,0.7724675183357606,62,0.375,0.17333333333333334
PD,0.39,margin,Margin (Global),0.8,1.0,0.4117647058823529,0.7778617188088922,50,0.34375,0.11333333333333333
PD,0.39,h_tau,H_tau (Global),0.0,0.71875,0.76,0.6998023244065193,246,1.0,1.0
PD,0.39,h_tau,H_tau (Global),0.05,0.7333333333333333,0.7777777777777778,0.7036394052930166,234,0.9375,0.96
PD,0.39,h_tau,H_tau (Global),0.1,0.7441860465116279,0.7941176470588235,0.7097626896892467,222,0.8958333333333334,0.9066666666666666
PD,0.39,h_tau,H_tau (Global),0.15,0.775,0.8,0.7120549184394768,210,0.8333333333333334,0.8666666666666667
PD,0.39,h_tau,H_tau (Global),0.2,0.7808219178082192,0.8225806451612904,0.7113818544436669,197,0.7604166666666666,0.8266666666666667
PD,0.39,h_tau,H_tau (Global),0.25,0.782608695652174,0.8362068965517241,0.7146794070474054,185,0.71875,0.7733333333333333
PD,0.39,h_tau,H_tau (Global),0.3,0.7846153846153846,0.8611111111111112,0.7163711504440077,173,0.6770833333333334,0.72
PD,0.39,h_tau,H_tau (Global),0.35,0.7931034482758621,0.8627450980392157,0.7079075928518365,160,0.6041666666666666,0.68
PD,0.39,h_tau,H_tau (Global),0.4,0.7818181818181819,0.8602150537634409,0.7100060530511958,148,0.5729166666666666,0.62
PD,0.39,h_tau,H_tau (Global),0.45,0.75,0.8522727272727273,0.7008987322871912,136,0.5,0.5866666666666667
PD,0.39,h_tau,H_tau (Global),0.5,0.75,0.8734177215189873,0.7046741197089005,123,0.4583333333333333,0.5266666666666666
PD,0.39,h_tau,H_tau (Global),0.55,0.7368421052631579,0.863013698630137,0.6950418235662962,111,0.3958333333333333,0.4866666666666667
PD,0.39,h_tau,H_tau (Global),0.6,0.7142857142857143,0.875,0.7031589238410082,99,0.3645833333333333,0.4266666666666667
PD,0.39,h_tau,H_tau (Global),0.65,0.7272727272727273,0.8888888888888888,0.7255958556902525,87,0.34375,0.36
PD,0.39,h_tau,H_tau (Global),0.7,0.7407407407407407,0.8723404255319149,0.7256774732140744,74,0.28125,0.31333333333333335
PD,0.39,h_tau,H_tau (Global),0.75,0.7391304347826086,0.8974358974358975,0.7363424224415669,62,0.23958333333333334,0.26
PD,0.39,h_tau,H_tau (Global),0.8,0.8333333333333334,0.875,0.7293753963710103,50,0.1875,0.21333333333333335
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.0,0.71875,0.76,0.6998023244065193,246,1.0,1.0
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.05,0.7444444444444445,0.7708333333333334,0.7036394052930166,234,0.9375,0.96
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.1,0.7558139534883721,0.7794117647058824,0.7097626896892467,222,0.8958333333333334,0.9066666666666666
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.15,0.7974683544303798,0.7938931297709924,0.7106457542942782,210,0.8229166666666666,0.8733333333333333
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.2,0.8,0.8032786885245902,0.715105088727553,197,0.78125,0.8133333333333334
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.25,0.8142857142857143,0.808695652173913,0.7167184940698536,185,0.7291666666666666,0.7666666666666667
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.3,0.8181818181818182,0.8130841121495327,0.7183033044851611,173,0.6875,0.7133333333333334
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.35,0.8153846153846154,0.8333333333333334,0.7254444728688538,161,0.6770833333333334,0.64
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.4,0.8032786885245902,0.8390804597701149,0.7281313445138872,148,0.6354166666666666,0.58
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.45,0.8181818181818182,0.8395061728395061,0.7248425575588315,136,0.5729166666666666,0.54
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.5,0.8,0.8243243243243243,0.7233453357431708,124,0.5208333333333334,0.49333333333333335
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.55,0.7777777777777778,0.8059701492537313,0.7251864806617817,112,0.46875,0.44666666666666666
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.6,0.7804878048780488,0.8275862068965517,0.7340330491731234,99,0.4270833333333333,0.38666666666666666
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.65,0.7714285714285715,0.8076923076923077,0.7372331796500335,87,0.3645833333333333,0.3466666666666667
